topic_id,collection_count,beatmap_count,collection_names,beatmap_names
10,110,931,5 digit arc (9045) | easy dt 250-300pp for low 6 digit and high 5 digit (4445) | 300-349 +DT (6103) | dt aim (3474) | DT - 250PP (6264),"Orange | WONDERFUL WONDER (TV Size) | how to create the weeknd's ""blinding lights"" | Blooming Lily | Sore wa Chiisana Hikari no Youna | Harebare Fanfare | Bass Slut (Original Mix) | Sore wa Chiisana Hikari no Youna (TV Size) | Kimi no Hana (TV size) | Orange (GoldenWolf Edit) | Future Son | Sawakaze (TV Size) | Caffeine Fighter | Hitorigoto -TV MIX- | Sore wa Chiisana Hikari no Youna (TV Size) | Shuriken School (TV Size) | Natsukoi Hanabi | Some Kind Of Magic (Feat. MYZICA) | you | Koi Kou Enishi"
11,112,902,Legendary Maps (16683) | ` (Legend) (337) | DREAM PASSES (4014) | Nostalgia (15972) | ~~~osu famous bmap (6062),Can't Defeat Airman | The Big Black | IMAGE -MATERIAL- <Version 0> | Tengaku | furioso melodia | Scarlet Rose | Apparition | Genryuu Kaiko | Rainbow Dash Likes Girls (Stay Gay Pony Girl) | The Big Black | Yomi yori Kikoyu  Koukoku no Tou to Honoo no Shoujo. | Worldwide Choppers | FREEDOM DiVE | Odoru Mizushibuki | Happppy song | RAISE MY SWORD | Road of Resistance | Everything will freeze | Galaxy Collapse | Remote Control
12,170,4781,AR8DT (7335) | dt (7648) | AR8DT-burst/ctrl/stream (4493) | Probar luego (11630) | finger control DT (1312),Night of Fire | Netoge Haijin Sprechchor | Kagachi | Itoshi Kimi wo Mitsuke ni | Floating Darkness | Black Apple | Freestyler | Running in the 90's | 24th Century BOY | Mischievous Function | Leia | Spring Lane ~ Colorful Path | Sky High | perditus paradisus | Daisuke | Night of Feifan Brother | SA.YO.NA.RA. SUPER STAR | She is my wife | THANK YOU FOR PLAYING | Gensou Kidan (Kaguyahime+Mikotonori Ver.)
13,117,1736,metal (8636) | metal streams (6178) | Metal stream 200+ bpm (5359) | Metal Songs (4617) | zone NM stream (4504),And Plague Flowers The Kaleidoscope | Libera (Part I) - Saturnine Spheres | Of Petrichor Weaves Black Noise | FN .380 ACP#19074 | Oak | Of Tesseractual Gateways and the Grand Duplicity of Xhul | Forget Not | Libera | Blacker Than | In Putris Stagnum | Once upon a Time... / There's No Place Like Home | The Sun  The Moon  The Star | Cellar of Ghosts | Abadon | Winter Madness | Dancing so madly  I'm reaching for the scarlet moon. | Worms of Soul | Arrival. The Meuse-Argonne | The Prelude To Bereavement | Devour Me  Colossus (Part I): Blackholes
14,140,1494,hd2 (2688) | (2) HD2 (5368) | Practice - HD2 (1526) | HD2 (6449) | Practice - HD2 (15103),Blood Drain -Again- | E? Aa  sou. | stlaeria | Izayoi Sakura | Maze of Vapor (Brutal Core mix) | Silver Orbit | BOOZEHOUND | still alive | Hitori no Yoru | Spirit!! | chameleon | Big Brother | Towa no Maigo | Flying High (DJ Splash Remix) | EDEN | u/n | Final Answer | Zi You Sheng Guang | A-TO-Z | Genjutsu no Crossroad
15,162,1164,NM consistency (3187) | NM Farm: 500-600+ (13772) | 1 AURA generic (18979) | Nomod / HD (837) | 500pp (10801),"Little Cry Baby | My Sweet Maiden | AugoEidEs | Snow Drive(01.23) | Kegare Naki Yume | Suikyou HEAVEN! | Top of the ""M"" | SURVIVE | I thought I was an angel | Zutto Summer de Koishiteru | Angreifer | Hoshi o Kakeru Adventure ~ we are forever friends! ~ [Long ver.] | Happppy song | Ringing Bloom | Hades: The rise | Tenohira de odoru | Lost In Time | FLYING OUT TO THE SKY (covered by Nanahira  moimoi  Nana Takahashi) | Einherjar | Uta"
16,231,11506,old dt (11442) | Masterpieces (3902) | !APPROVED! (15924) | 100 Masterpieces of osu! (15932) | **Every Approved Map** (451),With a Dance Number | Remind | Mythologia's End | Scarlet Rose | Green-Eyed Jealousy | Taketori Hishou | Crimson Belvedere ~ Eastern Dream | The Pretender | Shiroi Yuki no Princess ha ... | Talent Shredder | Kanshou no Matenrou | No 39 | Just Awake | Yuune Zekka  Ryouran no Sai | God only knows -Secrets of the Goddess- | Happy End of the World | Wahrheit | Redstar | Blue Night | YuYu Metal
17,41,289,BPM 170-179 (228) | BPM 170-179 (3607) | BPM 170-179 (4961) | o!c - gowon - BPM 170-179 (13296) | BPM 170-179 (13645),The Race | Infernoplex | The Flight Of The Bumble Bee | Frightfully-insane Flan-chan's frightful song | Narcissus At Oasis | Higanbana Daini -Shuusei no Lycoris- | Carrera 911 | Xepher | Tornado | One Life Left to Live | Blessing Snow | Veritas | Ripples (DJ Noriken Remix) | Vampire | Universal Death Squad | DangO-ooooooo | D2 | Symphony Of The Night | Lucid | masaka IN Nightmare!
18,199,3086,1 [NM3] (13685) | 1. NM3 (13085) | NM3 (18937) | { NM 3 } (5873) | alt (10329),Autoscopy | OPEN THE WORLDS | N.M.W | Rampage | Resist | Konkai no Soudou ni Tsukimashite. | Zinger Ringer Gang Love | i | PUMPIN' JUMPIN' | Kirei na Sankaku  Asahi Ningen | Irodoru Natsu no Koi Hanabi (Full Version) | Sacrifice | NONSENSE | Nemureru Mori no Shoujo | Kouzen no Himitsu | Imitator | Otoshimae | Koe | AIN'T NOTHIN' LIKE A FUNKY BEAT | Under The Moon  Adolesecence
19,33,296,BPM 180-189 (81) | BPM 180-189 (3608) | BPM 180-189 (4108) | BPM 180-189 (7368) | o!c - gowon - BPM 180-189 (13297),Ashes of the dawn | PUMP | Kakusei -Fractional Vision- | Sakura Mirage (Extended Mix) | Loco | Smoki i gole baby | Anhedonia | Crystal World ~Fracture~ | Endless Story (TV Size) | Lexus cyanixs | RAISE MY SWORD (TV Size) | Grant Kirkhope Collection | Power Failure 30th June 2001 | Shinobi Renka | Nijigen Dream Fever | squartatrice | Higurashi Moratorium | Sheriruth | Starchild | Furisodation (DJ HKT's bootleg MIX)
20,64,800,Jump Practice (3061) | o!c - Adriiiiii - 7~*+ Unranked Aim Pack by Skill (7014) | jump training (2533) | Aim (11724) | ~7 star+ Unranked Aim (4087),Rock-Mode (Sped Up Ver.) | Age of Reason (Speed up Ver.) | Masshiro na Katsu | About me | Mono Crossroad (Speed Up Ver.) | This herbal tea helps the heart dance | RERE | Fubuki (Speed Up Ver.) | Born For This (Speed Up Ver.) | Glorious morning | Junshin Always | A Fake  Fake  Psychotropic | Chop Suey! | Queer Recovery Club | adrenaline!!! | Tsukinami (Speed Up Ver.) | Ghost Rule (feat. DECO*27) | Akari no Arika | Sentimental Skyscraper (Speed Up Ver.) | The World's End off vocal ver.
21,88,401,tecnica (14489) | hmm (4174) | -  Nm stream farm (12386) | #B | Stream Farm 200-240 (5906) | 2 - stream shred (6648),Yomi yori Kikoyu  Koukoku no Tou to Honoo no Shoujo. | rog-unlimitation | Angreifer | FREEDOM DiVE [METAL DIMENSIONS] | Everything will freeze | The Deceit | Elements & Tale of Fire | March of War / Axe of Judgement | A Dark Omen | FREEDOM DiVE | HONESTY | Sorochinskaya Yarmarka | Victims of Contingency | My Heart Will Go On | A Dark Omen | FN .380 ACP#19074 | FREEDOM DiVE | Glorious Crown | Glorious Crown | Shinbatsu o Tadori Kyoukotsu ni Itaru
22,62,540,khz method (2788) | -- Death Stream  (9236) | stream practice (1911) | stream practice (6155) | 热手/Long Stream (11434),Long Stream Practice Maps | Long Stream Practice Maps | Long Stream Practice Maps | Long Stream Practice Maps | Long Stream Practice Maps 2 | Long Stream Practice Maps 2 | Long Stream Practice Maps | Long Stream Practice Maps 2 | Long Stream Practice Maps 2 | Long Stream Practice Maps | Long Stream Practice Maps 2 | Long Stream Practice Maps 2 | Stream Practice Maps | Stream Practice Maps | Stream Practice Maps | Stream Practice Maps | Stream Practice Maps | Stream Practice Maps | Stream Practice Maps | Stream Practice Maps
23,178,7109,zfynt nm goods (9288) | 0NM (9224) | bangers for sav (9025) | Ranked No Mod (11091) | hard (16811),1001 Arabian Nights | Judas (Cut Ver.) | Moves Like Jagger ft. Christina Aguilera | Fire Burning | Beggin' On Your Knees | Dance Number o Tomo ni | Baby (TV Size) | Shut Up and Dance | Bumble Bee | Blimp | I Like to Move It (Cut Ver.) | Armed and Ready | Shine | Club Can't Handle Me | Alive and Unwell (Sped Up Ver.) | Good Time | I Love You (Sped Up Ver.) | Down (TV Size) | Din Don Dan | Fireball ft. John Ryan
24,80,514,300PP (10121) | 300PP (6262) | <farm> (15730) | FarmShort (5238) | 5 | farm (212),Shounen Ripples | Chicago | Pekorap Tropical House Remix | Take me to the top | GET BACK | Lonely Go! (TV Size) | Super Driver | Can Do (TV Size) | Black Rover (TV Size) | Utsuroi (Short Ver.) | Amakakeru Hoshi TV ver. | EVERYBODY DO THE FLOP (Cut Ver.) | Gravitation (TV Size) | Happy! Lucky! Dochy! (TV Size) | 5150 | Sora ni Utaeba | My Sweet Maiden (TV-size) | No title | ChuChu Lovely MuniMuni MuraMura PrinPrin Boron Nururu ReroRero (Chiptune Cover) | Zettai Tokken Shuchou Shimasu! Hoshi Syoko Solo Remix
25,90,181,stream (11830) | 600PP / Stream / Farm (10902) | flowaim (11831) | flow pp farm (13975) | strims (16783),Sunless Dawn | Night of Winterlight | The Frozen Land | A Voice In The Dark | Master Of Peace | Infernus Ad Astra / Rise Of The Chaos Wizards | RAISE MY SWORD | Glory Days | WINGS OF JUSTICE | Songs Compilation | Mynarco Addiction | HEAVENLY PUNISHMENT | REASON | Sidetracked Day | Legend of Millennium | ULTIMATE SACRIFICE | HONESTY | Kikaijikake no Kami | Dawn of the Dragonstar | Blue Zenith (Cut Ver.)
26,42,322,BPM 240-249 (4099) | BPM 240-249 (87) | BPM 240-249 (2992) | BPM 240-249 (436) | #BPM 240 - 249 (10878),Apparition | Salieri Strikes Back | Yotogibanashi no Kamikakushi | Awakening | Warpledge | Cthulhu Wedding | NANO DEATH!!!!! | The Forgiven | Taihen na Mono no Shoushitsu | FREEDMAN | Hatsune Miku no Shoushitsu | NANO DEATH!!!!! | Everything will freeze | Everything will freeze | Frozen Gear | Horadric Cube | Outburst | Turkish March (Mozart Cover) | Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) | Nostalgic Blood of the Strife
27,61,977,"Niveau 6 (4,5*/5*) (17271) | [Style] Speed / Tapping (17261) | [Style] Tech Map (17263) |   -> FC (17234) | Niveau 5 (4*/4,5*) (17270)",LAND OF FIRE | I Hate You I Love You | No Limit RED Force (Game Ver.) | MiKUSABBATH (2020mix) | SKILLAWAKE | Los! Los! Los! | VANITAS | Blood on the EDGE (TV Size) | Touchuu Aika | DAI*TAN SENSATION feat. Nanahira  Mii  Aitsuki Nakuru (Short Ver.) | Start Again (Lexurus & Dualistic Remix) | Monodrama | Better Off Dead (Cut Ver.) | he loves me  he loves me not | WATER BLUE NEW WORLD (TV Size) | Fuwa Fuwa Time (TV Size) | On My Way | erase u (sped up & cut ver.) | hide n seek | BLACK MEMORY
28,36,427,BPM 200-209 (14417) | BPM 200-209 (231) | BPM 200-209 (4095) | BPM 200-209 (4964) | BPM 200-209 (8873),Fantastic Speed | htineZ eulB | Defenders of Bu-Tik Palace | mo-ko-mo-core | Dreamin' attraction!! | LittlE HearTs | boi zenith | My Heart Will Go On (Celine Dion cover) | Vanitas | NEO TREASON | Go Beyond!! (Extended RRVer.) | Hyper LATiON | The Whisper Of Ancient Rocks | Pandemonium | Cosmic Cortex | Inside The Winter Storm | 1950 | Wizdomiot (extended ver.) | The Silent Life | Immortal saga - Again
29,131,2661,Intro DT (4382) |  DT Fundamentals (7215) | DT (4782) | TILL BOT DT (11084) | personal best (5474),Natsu no Hi (Short Ver.) | Anthem Short Version | Cupid Review | Nanairo*Namida -TV Edit- | Blue Field | Addicted To You | Setting Sail  Coming Home | Passcode 4854 -TV edit- | GO Love&Peace | Fekete feher | Aoi Shiori | Dear My Friend -Mada Minu Mirai e- (TV size) | Sawakaze (TV Size) | I Did It For Love | and I'm home | Passcode 4854 -TV edit- | Step Off Playa | Harenohi Step short ver. | Poker Face (TV Size) | Mata Ashita
