topic_id,collection_count,beatmap_count,collection_names,beatmap_names
40,144,2341,5-6 Star Consistency Farm (1502) | - Consistenc and flow aim (3285) | ^farm (long) (2028) | mrekk 1k (6812) | Consistency (15235),UNION!! | Sunglow | Tsukinami | Tsukinami | Remote Control | Songs Compilation IV | Kakurenbo | Colors Power ni Omakasero! | Songs Compilation IV | Colors Power ni Omakasero! | Nagareboshi | Colors Power ni Omakasero! | Colors Power ni Omakasero! | Not For Sale Fossil | One In A Billion | KIZUNA MUSIC | Sunglow | Light Delight | One In A Billion | Not For Sale Fossil
41,85,1967,GranDSenpai aim (4903) | AIM  (6474) | Aim pack (9241) | aim (14750) | aim (6438),Kigurumi Sungeki | StaRt | The Piercing Moonlight | Rebellion | Ai wa fushicho no yo ni | Envy Baby | Unwelcome School | Jet Rocket | The Watchers | Recall THE END | Iyana Wotsukai | Kaikai Kitan | OVER THE TOP (TV Size) | Starboy x Survive - Stranger Boy | Blood on the EDGE | My Brother (Definitive Version) | Danzai no Solitude | terminus//runtimes | Dilemma | tree (Sped Up Ver.)
42,122,1742,1 [NM5] (13687) | NM5 (18939) | Control (13725) | фингер контроль (10573) | Speed/Stamina pack (5617),xenobeat | LIN NE KRO NE feat. lasah | Lolit Speed (Cut Ver.) | ultimer | Temptation | Noise Of Yandere | Absolute Smakatrosmic | i hope you ejaculate inside me | Call me with you | slavik goblins | Stomp to my pigs | One Second | Too Sweet | Onslaught of the Covenant | Code Name: Foxtrot | Behind The Wall Of Apathy | charlotte aux framboises (feat. mami) | Say So | Blastix Riotz | Samurai Annihilate!!
43,93,695,500pp (11752) | 500pp (10868) | HDDT FC (7537) | dt+ (12075) | #HDDT 600+pp (6926),Dandelion | SAVE (Encore) | Dakara  Hitori ja Nai (TV Size) | Mr.Downer | Idola no Circus | I'll Sleep When I'm Dead | Horrible Kids | Yubi Bouenkyou ~Anime-ban~ | Get Jinxed | EVERYBODY DO THE FLOP (Cut Ver.) | Haru Urara  Kimi to Sakihokoru (TV Size) | Koi no Hime Hime Pettanko | Kanpeki Gu~no ne (TV Size) | Dear Brave (TV Size) | CHEER UP | Snow Halation (feat. BeasttrollMC) | Sakura Mitsutsuki | Fire (feat. Max Marshall) | Simarik | Kako ni Torawarete Iru
44,45,400,BPM 220-229 (6886) | BPM 220-229 (4097) | BPM 220-229 (2990) | BPM 220-229 (18487) | [STREAMS] 220-229 bpm (1031),In Putris Stagnum | March of War / Axe of Judgement | Yomi yori Kikoyu  Koukoku no Tou to Honoo no Shoujo | Yomi yori Kikoyu  Koukoku no Tou to Honoo no Shoujo. (Ringtone Size) | chipscape | XyHATTE | Ingaritsu No Togabito  Kyoukaimen-Jou No Unmei. | Astral Empire | Desert Planet | She Runs | The Prelude To Bereavement | rog-unlimitation | GHOST | 1k core | fake me (samfree's Science Adventure Dance Remix) (Sped Up Ver.) | Haishita Shoujo wa  Haiyoru Konton to Kaikousu. | rog-limitation | Lapfoxed Forever | Ring of Fire | Heterochromia Iridis
45,101,409,speed2 (17211) | 9* or close (12621) | stream farm jitty (9188) | HR stream (16927) | Walter Weiss (10255),Glory Days | Lionheart | end of a life (Holo Bass Remix) | 10 Things I Hate About You (Sped Up & Cut Ver.) | Already Disappeared | Dawn of the Dragonstar | Life Sux (Sped Up Ver.) | Twinkle Twinkle (Sped Up & Cut Ver.) | We Got It (feat. Rothwell) | Xevel | Juvenile | Ange du Blanc Pur | Louder than steel | DROPOUT!? | Valley of the Vale | Yami no Mahou Shoujo | Ashes of the Dawn | BLACK or WHITE? | Sidetracked Day (Short Ver.) | Tower Of Heaven (You Are Slaves)
46,113,1075,speed jhone (18279) | dt dedo (11381) | ###Speed DT (12673) | 150 BPM (16686) |  - DT Tapping! (15846),System Sun | Trio Cup | Eiji Kuinbii | LOVE BOMB | Tower Of Heaven (You Are Slaves) | Endless night | Midnight Siege | TWEEKER | w/WWW feat. Hoshimiya Toto | Omoi ga Rekishi ni Kawaru Toki | Unmei no Dark Side -Rolling Gothic mix | Kowareta Unmei o Tsumuide | Crimsonic dimension | Twinkle Twinkle (Sped Up & Cut Ver.) | Zouka de Arou to Shita Mono | Life Sux (Sped Up Ver.) | Juvenile | SLoWMoTIoN | Be Happy* | Asu no Yozora Shoukaihan
47,168,2966,Meowscarada TECH (12366) | * Slideraim (18142) |   NM4 (9029) | Slider Tech (13950) | Tech (15738),Mertvetsy | ILLEGAL LEGACY | Inner Circle | Heathens (Magnetude Bootleg) | Codename | Doku | Night Ride | Desert | used to it | Wa Yoderi | GRAVITON | Inceptionism | Transhumanist | Rebellion | Hesperos | 4884 | Flux | Delirium | Beast (Vorso Remix) | RAMSING
48,127,5217,5 minute maps compilation (1458) | - !TIEBREAKER (19091) | [TB1] (4613) |  6 Tiebreaker (5010) | 6 [TB ALL] (13703),Retrospective Kyoto ~ Japanese Beautiful Barrage | Youyou Bakko ~ Who done it!!! | Furuki Yuanxian | Necrofantasia ~ Remix | Kagayaku Hari no Kobito-zoku ~ Counter-Attack of the Weak | Plastic Mind ~ Alice in Underground | Eastern Dream ~ The Introduction / Kamisabita Kosenjou ~ Suwa Foughten Field | Yumeshoushitsu ~ Lost Dream | Fall of Fall ~ The Door Into Summer | Himegami Matara ~ Four seasons where Starless disappeared. | Shinkirou | Youyoumu ~ The Woman Who Sold the Moon | Fall of Fall ~ The Door Into Summer | Rigid Paradise ~ Dawn of the Dead | Pure Furies ~ Vengeance is Mine | A Sugar Business | 'Thema of Curtain Fire Shooters' -History 3/3- | Kid's Festival ~ Innocent Treasures | Haruiro Komichi ~ Rest In Peace  Saith The Lord. | Secret Desire - Dyes Remix -
49,104,1770,240 BPM (14789) |                    FLHT (17737) | 240 BPM (16695) | [B] Speed (18267) | POG FLOW  AIM (15685),Jashin no Konrei  Gi wa Ai to Shiru. | Pain Remains II: After All I've Done  I'll Disappear | Mit Gott fuer Koenig und Vaterland | Alice In Wonderland (feat. UX) | Glass Phantoms | A Tale Of Salt And Light | Astral Empire | Don't Tread on Me (Harlem Hellfighters) | Nordlys | March Of War / Axe Of Judgement | Forgotten Kings | The Spiritual Relief | Ingaritsu No Togabito  Kyoukaimen-Jou No Unmei. | The Left Hand Path | The Whisper Of Ancient Rocks | Haishita Shoujo wa  Haiyoru Konton to Kaikousu. | Mortal Shells | Symbol I : Fire (Cityyy Remix) | Burning Heart | Snow-Sleep
50,53,421,I love dragonforce  (8614) | 17-DragonForce (13865) | DF (14567) | Pass DF (11236) | Dragon Force (11751),Valley of the Damned | Operation Ground and Pound | Soldiers of the Wasteland | Above the Winter Moonlight | Revolution Deathsquad | Defenders | Cry for Eternity | The Last Journey Home | Heroes of Our Time | Fallen World | My Spirit Will Go On | Scars of Yesterday | WAR! | Symphony Of The Night | Seasons | Troopers of the Stars | Heart Demolition | Inside the Winter Storm | Symphony of the Night | Extraction Zone
51,169,2701,Density / Low AR (19163) |  LOW AR (AR8 and below) (11580) | a lot of gimmick maps (10393) | !Reading (10450) | Low AR (14302),SUNKiSS <3 DROP ~jun Side~ | MAD HEAD LOVE | faithlessness | Hinarin no Yakui Kankei (Edit ver.) | LAB=01 | B.O.B. (Bombs Over Baghdad) (Cut Ver.) | snow irony_ | Kigurumi Sungeki | Chaoz Japan | Millennia | Made of Fire | Lovely Icecream Princess Sweetie | Spirit!! | Otomegokoro x Kyokuchuuhatto -dandara shooting MIX- | Shoujo ga Mita Nihon no Genfuukei | Levitating | Ryoushi no Umi no Lindwurm | Mayday | Mr. Coffee | SigSig
52,112,402,300Pp Farm HD  (1273) | Doable 600pp (8700) | pp 300+ (2790) | 200 pp able (16521) | 700pp (14111),Happy Time wa Owaranai | Ame to Asphalt | Team Magma & Aqua Leader Battle Theme (Unofficial) | Yubi Bouenkyou (TV Size) | AaAaAaAAaAaAAa | HIKARI (TV Size) | Ai no Sukima | One by One | Kira Kira Days (Cut Ver.) | V (TV Size) | Start Again | Imagination (TV Size) | Kani*Do-Luck! (TV Size) | Monochrome Butterfly | No pain  No game (TV Size) | MIIRO vs. Ai no Scenario | Responsibility Response | Star light  Star bright (TV Size) | Black Rover (TV Size) | Totsugeki Rock
53,102,1920,!!!HIGH BPM!!! (6835) | ю жим подольше (10680) | eternum's speed/stamina collection (922) | [A] [1] aSTAMINA (15412) | NM STAMINA (10473),Cuntcrusher | Assailant in the Night | Storms of Ages | Ages Die | Exterminate The Liberated | Circo Inhumanitas | Darkest Spawn | Opus Brahmanic | Immortal | Inadequate/Servant Of This Sentience | Hell | Abysm Nucleus | The Legend of the Rent is Way Hardcore | The Imposition | Permitting The Noble Dead To Descend To The Underworld | Castrate The Father Of The Sky/ Titanomachy | Childchewer / Three Bastards | Mammals in Babylon | Mon Dernier Combat | Yami Hukaki Mono
54,588,14729,Aim Control/Tech/Alt/Read (2213) | Tech (3869) | nice maps (3866) | Favorites (5171) | tech/fun to alt (3784),me & u | Start Up feat. Such | true DJ MAG top ranker's song Zenpen (katagiri Remix) | Signal feat. Such | true DJ MAG top ranker's song Zenpen (katagiri Remix) | Humanoid | Jinsei wa Yume Darake | Dizzy (Radio Edit) | REFLECT (Assertive Hardcore Bootleg) | Arigatou Sayonara (PSYQUI Remix) | TRIPLE PLAY | Your voice so... feat. Such | Kan Saete Kuyashiiwa | Day by day (PSYQUI Remix) | Bassline Yatteru? w | Stargazer feat. YUC'e (PSYQUI Remix) | Future Cider | Hype feat. Such | Morning Glow (feat. kradness) | Kan Saete Kuyashiiwa
55,35,185,BPM 270-279 (90) | BPM 270-279 (1616) | BPM 270-279 (4102) | BPM 270-279 (439) | #BPM 270 - 279 (10881),MEGALOMANIA | Palette GAMMA | Delrio | Holy Orders Remix | Painters GAMMA | Mitra | Mad Machine | The Empress | World's end - Millefolium | Sacrifice | Bloodthirsty Nightmare Lullaby / The Empress | The Violation | The Violation | Vertex Delta | Slotcore is Dead | Delrio | Circo Inhumanitas | Sidetracked Day GAMMA | thing | Senseless Massacre
56,97,506,8-10 dt hard (8359) | mrekk 3 mod maps (4826) | chier dans ta génétique (7585) | myangelaosora dt doable (5636) | - HR 400pp (16923),Nagareboshi | Kakurenbo | One In A Billion | Not For Sale Fossil | Stella-rium | Hakkensha wa Watashi | Believe in ourselves | Prima Stella | Brand New Theater! | Dear Brave | Akatsuki Zukuyo | Stella-rium (Asterisk MAKINA Remix) | Sakura no Zenya | Letters to me | STARTRAiN | UNION!! | Sunglow | Colors Power ni Omakasero! | SANTA SAN | Guitar to Kodoku to Aoi Hoshi
57,151,1630,Fingercontrol Maps 5-6* (3568) | - Consistency dnb + remix (19076) | Fingercontrol Maps 5-6* (3205) | DnB Bangers (18519) | !!!!dnb meta (8830),Wings (Nu:Logic Remix) | World's End  Girl's Rondo(Asterisk DnB Remix) | Kimi no Kioku (Aethral Remix) | Fallen Angel (El Poco Maro Remix) | Clarity (feat. Foxes) (kamome sano remix) | Epiphany (feat. Veela) | Rain | The Near Distant Future | Hikouki Gumo (el poco maro DnB EDIT) | monochrome(Asterisk Makina Remix) | Mr. Kill Myself | Fallen Angel (el poco maro Remix) | os-Uchuujin(Asterisk Makina Remix) | Dream Walker | Hold Your Colour | EOS (kamome sano rmx) | Propane Nightmares (Celldweller Remix) | LOVER (el Poco Maro Remix) | Got Me Thinking (feat. Veela) | Won't You Stay
58,97,793,zzxWOOTINGnew (12620) | wooting 6/23/24 (11744) | 14-16k pp (12607) | wooting 3/29/24 (10854) | speed (17210),Enkan no Kotowari | TWEEKER | d.m.c (Band Ver.) | Merry Axe-Mas | Minamichita EVOLVED | Attakain Dakara | Shoujo-tachi no Majogari | Kobito of the Shining Needle ~ Little Princess | croiX | Last Remote - Type gamma | Desire Drive ~ Desire Dream | Deep Sea | snow storm -euphoria- | United (L.A.O.S Remix) | Cinderella Cage -Trancecore Mix- | RUN!RUN!RUN! | Sad spring | Abracadavre | Nippon Manju | reunion <Platinum Long Version>
59,58,1005,C -- Euphoria Type (10466) | Psytrance & Hi-Tech (10889) | - PSY-trancе (6693) | Psytrance/Hitech (10945) | tech stream (15181),Absolute Relative | FireLight (Neokontrol Remix) | Fantastic Speed | We Are Warriors (FLOSSY WAVES Remix) | 4 Aliens At Work | Deep Dream | Awake | Whispers In The Dark | Pachamama (Henrique Camacho Remix) | Take Your Pills | Dead Dreaming | Rhythmic Collapse | Euphoria | Contact Is Made | Paraselene | Tales of Yggdrasil | They Are Coming | Ragga Connection | SYSTEM ERROR | Raggatek Comes (Serious Bot Update)
60,117,684,stream pog (1394) | 1. Spaced (1806) | [T] Stream (15313) | strom (5854) | WARM UP STREAM (4291),Slider | REASON | The Sun  The Moon  The Star | Amore - Aoi Hoshi - | Euphoria | RAISE MY SWORD | Painters of the Tempest (Part II): Triptych Lux | WINGS OF JUSTICE | Ange du Blanc Pur | FireLight (Neokontrol Remix) | Road of Resistance | Genryuu Kaiko | Bad for me (Dz'Xa's Amenpunk) | lullaby (feat. KIRA) (uet Remix) | Forget Not | Master Of Peace | sukisukisukisukisukisukisukisukisukisuki | Ascension to Heaven | Songs Compilation III | HONESTY
61,154,2929,300pp+ (8576) | HDDT 300pp+ (8341) | dt consistancy (1946) | DT AR=9 (12390) | DT (10114),Marshmary | HIKARI (TV Size) | Dakara  Hitori ja Nai (TV Size) | Dandelion | You Suck At Love (Speed Up Ver.) | Bombs away | Sakura Mitsutsuki (TV Size) | On & On (feat. Daniel Levi) (Cut Ver.) | Setsuna Plus | Yume Chizu | ROCK-mode | Wizard's Tower | Best FriendS -TV Size- | Nothing More | Kimeta yo Hand in Hand (TV Size) | dawn (TV Size) | SETI | Idola no Circus | Ao to Natsu | Through My Blood
62,37,985,the oral cigarettes ranke (3370) | THE ORAL CIGARETTES (5477) | ToC o!std (5177) | THE ORAL CIGARETTES (3673) | the oral ciggarettes (2103),S-LOW | Color Tokyo | The Given | LIPS | Tonari Au | Kyouran Hey Kids!! (Sped Up Ver.) | Wagamama de Gomakasanaide | Wagamama de Gomakasanaide | Songs Compilation | Fantasy | Slowly but surely I go on | Fantasy | Slowly but surely I go on | Slowly but surely I go on | Kyouran Hey Kids!! (TV Size) | Kyouran Hey Kids!! (TV Size) | ONE'S AGAIN | Kyouran Hey Kids!! (TV Size) | ONE'S AGAIN | ONE'S AGAIN
63,275,5614,[DT] (19124) | DT Consistency (16114) | DT1 (7740) | [DT] Tournament Maps (485) | DT3: high bpm bursts (7038),Heart of Night | Sins -Kokoro no Tsumi- | Colors -sasakure.UK Futurelogic Remix- | Spitfire | Ma Cherie | Mukau no Sato ~ Deep Mountain | Seisen Spectale | Kishinjou set 07 ~ Magical Storm | Foughten Field | HAELEQUIN | lastendconductor | The Grimoire of Alice | Dahlia | Melody! | Hot Right Now (Radio Edit) | Gamble Rumble | Guardian Angel | Sewing Machine | Boba Beach | Cat Food
64,73,1231,ARLES (15110) | arles/necroh (6621) | Full Arles Collection (4674) | Arles (1871) | Arles (920),TRY UNITE! (aran Remix) | Smiling (Speed Up Ver.) | shounen ripples | Preserved Valkyria | Katayoku no tori | Synesthesia | Dreamin' attraction!! (Extended) | ODDS&ENDS (Speed Up Ver.) | TRY UNITE! (aran Remix) | shounen ripples | Smiling (Speed Up Ver.) | Synesthesia | Azure Sky | ODDS&ENDS (Speed Up Ver.) | Hello world! | L9 | New World | Oceanus | Oceanus | Katayoku no tori
65,209,1496,! COMBINED (15339) | ! aetrna thread (15338) | 2012-17 FCS (16571) | merami thread (15324) | Ranked maps (2016) 6* (1784),Ryokugan no Jealousy | squartatrice vs. disperagioia | Hanairo Biyori | perthed again (yambabom remix) | Lies in Reality | Distorted Lovesong | Oceanus | Sakura Mirage | Escape With The Clouds | Arrival of Tears | Saigo | Electric Love (t+pazolite Overcute Remix) | AMAZING BREAK | The World's End | Gigantic O.T.N | Acid Burst | To The Terminus | Extra Mode | #sawg (Wan Bushi Remix) | King For A Day (feat Kellin Quinn)
66,38,242,BPM 230-239 (4098) | BPM 230-239 (6887) | BPM 230-239 (234) | BPM 230-239 (2991) | BPM 230-239 (18488),Belie The Machine | Archangel | MATZcore | Kanon-Kanon | The Agony | Existence II: Collision | The Skin Thief | The Skin Thief | The Game | Waking Divinity | Bring Back the Plague | Lachryma Re:Queen'M | Lachryma Re:Queen'M | The Agony | Lachryma Re:Queen'M | GHOST (2020 Halloween+++++++++ VIP) | Bon Appetit S (Oldskool HappyHardcore Remix) (Short Ver.) | Houmous | Worms of Soul | The Fool / Thru Our Scars
67,171,2925,- > ctrl (16259) |         Aim control (16286) | Skrowell's Aim control collection (15218) | -! Aim control (13112) | HonBae's Aim Control Collection (8834),Flashes (Hommarju Remix) | Shining Stella | Rapsodie fer za Cacutuses (*'v'*) | Signal feat. Such (Mameyudoufu Remix) | kuuchuubunkai | My Piano is escaping | Burning Star | fffff | Vermillion Nightmare | w/WWW feat. Hoshimiya Toto | Magic Girl !! | Guillaume Tell | ALL MY TURN | Rampage | Humanoid | first death | OTONABLUE | Wormhole | Bookmaker | Native Faith (Eurobeat Mix)
68,299,10154,Easy 6 Digit Farm Maps (17813) | pp (4032) | Farming (1557) | Farm maps (13668) | Farm Maps (3945),Marshmary | Marshmary | Marshmary | Ai no Sukima | Kira Kira Days | Mizuoto to Curtain | Kira Kira Days (Cut Ver.) | Kira Kira Days | Mizuoto to Curtain | Horrible Kids | Kira Kira Days (Cut Ver.) | Horrible Kids | Kira Kira Days | Ai no Sukima | Ai no Sukima | HIKARI (TV Size) | Kira Kira Days | Ai no Sukima | Kira Kira Days | HIKARI (TV Size)
69,308,14554,7-In Portrait: Solo (14898) | 1-Skyscapes (11377) | 7-In Portrait: Group (14897) | 7-In Portrait: duos (14896) | 6-Flowing dresses (14875),Nijiiro | Shelter | Shelter | Nijiiro | Shelter | Sakura  Sakura ~ Japanize Dream... | Victory ~ Theme of Virtue | Artificial Children | Victory ~ Theme of Virtue | Vivo Per Lei (Je Vis Pour Elle) | Artificial Children | Artificial Children | Lovely Day | Monobeno no Uta | Monobeno no Uta | Artificial Children | Dear You [ver. XCEED] | My Soul  Your Beats! (Full ver.) | Monobeno no Uta | Paradise Cage
70,120,1763,>NM4< (4371) | - !NM (19112) | NM4: tech (7045) | . | NM4 // Technical (1227) | o!c - dGeist - finger control (8159),Outer Space | WE ARE *NOT* CURZED | extraterrestrial (Cut Ver.) | Tears | Senkyou | re[in]flaw | Eyes on me feat. Such | VIBRA (Extended Mix) | EZ Mode | B L A C K - R A Y | Heartless being | rE:loaD | Be With U | Hemizorv | Co1ossus | Riot | Enneaquest | SUMMER | Wake Up While Sleeping | Bleary Vagary
71,127,1837,"##6 star + dt (12677) | finger control farm (+300pp, <160bpm, 8-8.5ar) (7607) | DT MY BELOVED (12826) | DT Maps (7922) | dt boss (9372)",Daydream cafe ~Gochuumon wa Cocoa desu ka? ver.~ | sEE NEW THE WORLD  SHE KNEW THE WORLD - CYTOKINE Remix | Sonna Yume wo Mita no ~lonely dreaming girl~ (Remix) | M@STERPIECE | Ondosa | Koigokoro | Ifuudoudou | Kataomoi no Bigaku | Koyoi Index | Your song* | Koi Kou Enishi | Zouka de Arou to Shita Mono | Blooming Lily | silky heart | Songs Compilation | Din Don Dan | Manic | Best FriendS | Hello Zepp | Torinoko City
72,162,2997,- > precision (15376) | { HR 2 } (5878) | HR2 (18945) | 2HR2 (11897) | [ HR ] (11015),One Room Sugar Life | Fenrir of the Blizzard | Ergosphere | Instinct | Tabi to Ferry | Levitation Nation | Citadel | vajra | Onigami | Mutsuki Akari no Yuki | Yokuatsu Sakuran Girl | deltaTime | Daisan no Shinzou | Cirno to Mario no Perfect Sansuu Kyoushitsu | squall | Sacred | The Way we Were | Arcade Love (feat. KNVWN) | Arsene's Bazaar | Wing my Way
73,51,867,[CTRL] Skill / Flux (14350) | [CTRL] Fingers (14346) | [CTRL] Aim (14335) | [CTRL] Flow (14347) | [Reading] Rhythm (14360),Ominous Cross | Dark seeks light (TV Size) | Echoes of Sunfall | freak of nature : start | Desert Theater | Empyrean | DEAR MY WAKER | Cardinal Rave | Dizzolve | Carmina (Extended Mix) | Inkya Impulse | Tic! Tac! Toe! | Lost in the maze | The Dance of Eternity | Nanatsu Myoukakitsubata | Ao no Ichibanboshi | Evil Bubble | DDU-DU DDU-DU | Crescent Sakura | V!rtuaresort
74,161,2178,tech (15299) | tech (12937) | Tech (8619) | Nomod / HD (816) | tech (12935),"M1LLI0N PP | HUG AND KILL | Palace of Melancholia | Tool-Assisted Speedcore (TQBF Frame Advance RMX) | Education | Bookmaker | RPG | GHOST (2020 Halloween+++++++++ VIP) | Hype feat. Such | Possesed By The Blood Moon | THE WORLD REVOLVING (Camellia Remix) | Duplicity Shade (feat. Sennzai) | OOPARTS | Invisible Frenzy (Camellia's ""593: Insanely Fluctuated"" Remix) | I Can Fly In The Universe | Exit This Earth's Atomosphere (Camellia's ''PLANETARY//200STEP'' Remix) | KillerBeast | Never Alone (ReeK's ""Hitorijanai"" Remix) | The Rolling | +ERABY+E CONNEC+10N"
75,47,1750,dt shiiz (9028) | o!c - zfynt - some dt (10742) | 0tricky dt (16265) | 01k (9551) | DT HD farm (11786),Red Line | Your Graduation | Love You Like A Love Song (Cut Ver.) | Akai Ito (Cut Ver.) | Natsu no Uta | Akari no Arika | Chiisana Koi no Uta | Breaking The Habit | conch <cut ver.> | Ao to Natsu | Nightmare (Sped Up & Cut Ver.) | Toki no Ame  Saishuu Sensou | GET BACK | The Amateur Arsonist's Handbook | Yotsuya-san ni Yoroshiku (Cut Ver.) | Ai no Sukima (Cut Ver.) | I Didn't Even Know What To Say (Speed Up Ver.) | Kill Rock 'N Roll | golden hour (cut ver.) | Son of Robot
76,35,853,BPM Practice (243) | BPM Practice (7490) | BPM Practice (18497) | BPM Mixed / Practice sett (1230) | BPM Mixed / Practice sett (3142),osu! ~ Deathstream Compilation | osu! ~ Death Stream Compilation 2 | Spectrum Of Eternity | FREEDOM DiVE | Pandemonium | FREEDOM DiVE | Pandemonium | FREEDOM DiVE | osu! Spaced Stream Compilation | Stream Practice Maps 2 | Stream Practice Maps 2 | osu! Stream Compilation | osu! ~ Deathstream compilation | Stream Practice Maps 2 | Marathon Stream Training | Pandemonium | Stream Practice Maps 2 | Stream Practice Maps 2 | Symphony of the Night | Symphony of the Night
77,292,5066,200-300pp consistency (7446) | fc (7727) | 6. lifeline DT 800pp (7975) |         (HD)DT (7620) | o!c - Lifeline -    (HD)DT (3366),Amy | Sunglow | Honey Come!! | Miraizu feat.Aida Miou(CV:Toyosaki Aki) | The Glory Days | Kimiiro Hanabi -album version- | Sakura no Uta | Contrail ~Kiseki~ (Epsilon Remix) | Endgame | Flamingo (WTN3 Remix) | Till the End | Tsukinami | Dream Walker | Wings of Courage -Sora o Koete- (K@keru Dnb Remix) | Necro Fantasia | Rally Go Round | Storytellers | fantastic dreamer | color | I Bet You'll Forget That Even If You Noticed That
78,33,329,Speed / Stamina (3848) | Casper - BURST/SPEED (10814) | Speed / Stamina (839) | Speed / Stamina (818) | stamina/stream/stream pp (8162),Attention Whore Magic | /a/ | x.U. (ETIA. Hardcore Bootleg Remix) | Elektrick U-Phoria(Extended Mix) | Kegare naki Bara Juuji | Kevlar Skin | Prism Sympathy(Asterisk Remix) | hora de verdad | Winter Diamond | Sugar-Glazed Madness | Staring at star | Starlog(Asterisk Remix) | Winteright | POWA OF DA WILDANES | Yuugen no Ran | Hanikamu Kimi ni Koi Suru Watashi | TRY UNITE! (aran Remix) | Pavor Nocturnus [2015] | Tsubomi (Long Version) | FIN4LE ~Shuushisen no Kanata e~
79,44,350,BPM 210-219 (4096) | BPM 210-219 (7371) | BPM 210-219 (1610) | BPM 210-219 (2989) | BPM210-219 (4777),WE LUV LAMA | What A Horrible Night To Have A Curse | Trip to India | toromi hearts 2 | The Self Surrendered | Fushoku Ressentiment  Fushi Yoku no Sarugakuza. | The Fool | Gekiai no Yobigoe ga Dekiai no Kyougoe wo Kurau | Sky of Twilight | Tout Petit Moineau | Gekiai No Yobigoe Ga Dekiai No Sakebigoe Wo Kurau | The Obsidian Crown Unbound  (Episode: IX) | Victims Of Contingency | Libera | Aoiro Step (Short Ver.) | Hymn | Thunderstruck | burn this moment into the retina of my eye | Miracle 5ympho X | Libera (Part I) - Saturnine Spheres
80,89,2456,Tonehh's Rehab Maps (1503) | rehab (7398) |  Rehabilitation (11326) | Training (3319) | Getting better (2247),Kimi no Shiranai Monogatari | Hana wa Odore ya Irohaniho (TVsize) | Kiritorisen | ambiguous (TV Size ver.) | Kirihirake! Gracie*Star | Bokura wa Ima no Naka de (TV Size) | crossing field (TV Size) | Jet Rocket | Hana wa Odore ya Irohaniho (TVsize) | Hana wa Odore ya Irohaniho (TVsize) | Kimi no Shiranai Monogatari -TV Edit- | Twintail Dreamer! | Kiritorisen | Kiritorisen | rewrite | Kisetsu wa Tsugitsugi Shindeiku -Tokyo Ghoul Root A Edit- | Lovers (TV Size) | Yasashisa no Riyuu | Catch the Moment | 7 -seven- -TV SIZE -
81,75,2303,Marathons (1281) | %long (8301) | Marathon/long maps (3703) | songs compilation (844) | Marathon (4707),Because Maybe! pt. 1 | Because Maybe! pt. 2 | Because Maybe! pt. 3 | osu!memories | This Place Will Grow EP | osu!favourites | Because Maybe! pt. 3 | Alternator Compilation | osu!memories 2 | THE MEDLEY OF POKEMON RGBY+GSC -3PBs- | HUNTER X HUNTER COMPILATION | The Unforgiving | Liquicity Yearmix 2016 | Living Things | Magi Compilation | Yuruyuri Songs Compilation | Visual Novel Songs Compilation | Songs Compilation III | Nico Nico Douga Matenrou | The Devourer of Gods (Nonstop Mix)
82,91,319,Aim DT (7762) | 500pp (14565) | dthd (6651) | Reform (15762) | ####DT 380-550PP (6347),Bass Slut (Original Mix) | chAngE | WONDERFUL WONDER (TV Size) | Cold Green Eyes feat. Roos Denayer | Start Again | Snow Halation (feat. BeasttrollMC) | Natsukoi Hanabi (Sped Up Ver.) | Chikatto Chika Chika | POP/STARS | Dakara  Hitori ja Nai (TV Size) | Rockefeller Street (Nightcore Mix) | Take a Hint feat. Victoria Justice & Elizabeth Gillies (Speed Up Ver.) | Guess Who Is Back (TV Size) | Guinea Pig Bridge | SAVE (Encore) | Harebare Fanfare | Gold Dust | Yume Chizu | Mr.Downer | Marshmary
83,103,247,pp maps with hr (1307) | 400/500 (2164) | NM Farm 400pp+ (6799) | Map overrated(350-470)pp (6899) | 3. 400pp+ (6870),Ringo Uri no Utakata Shoujo | Shirayuki | Sendan Life | Toumei Elegy | From Under Cover (Caught Up In A Love Song) | I Bet You'll Forget That Even If You Noticed That | First Storm -Japanese Version- | Namikare | Flames Within These Black Feathers | My Days | Airman ga Taosenai | Soundscape | Yuudachi no Ribbon | Hades: The rise | BLUE DRAGON | Guilty All The Same (feat. Rakim) | First Storm feat. Hatsune Miku | Ooi [Game Edit] | VIRGIN CODE | ODDS & ENDS
84,76,582,Anne gib mir Skill (11054) | GLORYHAMMER (15283) | ffire (12422) | stamina (6314) | Anne gib mir Tapping (10265),Rise Of The Chaos Wizards | Infernus Ad Astra / Rise Of The Chaos Wizards | The Unicorn Invasion of Dundee | Elektrick U-Phoria(Extended Mix) | The Epic Rage of Furious Thunder | The Unicorn Invasion of Dundee | Epicus Furor / Emerald Sword | RAISE MY SWORD | Above the Winter Moonlight | Stream Practice Maps 2 | WE LUV LAMA | Stream Practice Maps 2 | The Unicorn Invasion of Dundee | HEAVENLY PUNISHMENT | Ashes of the Dawn | Wings of Freedom | AiAe | Twilight Skies | The Rising | Uta
